half,trigger_min,message
前半,0,⚽ キックオフ！前半が始まりました！チャットで一緒に観戦しましょう！
前半,2,⚽ キックオフ！前半が始まりました！チャットで一緒に観戦しましょう！
前半,3,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
前半,4,❓プライバシーの許す範囲で個人的な質問もOKです。
前半,5,🗣 推し選手や気になるプレーがあればチャットに書き込んでください！
前半,6,🔮 スコア予想を！チャットに書き込んでください！
前半,7,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,8,👏 今の気持ちをチャットで共有しましょう！
前半,9,❓ 質問はコメント欄でどうぞ。
前半,10,👍 配信が楽しければ「高評価」をお願いします！配信のボルテージを上げましょう！
前半,11,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
前半,12,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（3列表記の例：4-3-3、4-4-2など）
前半,13,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、守備的な中盤、攻撃的な中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（4列表記の例：4-2-3-1、4-3-2-1、3-4-2-1など）
前半,14,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
前半,15,🔮 スコア予想を！チャットに書き込んでください！
前半,16,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
前半,17,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
前半,18,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
前半,19,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
前半,20,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
前半,21,【原理原則】フィールドを縦に5分割して見るのがオススメ
前半,22,💧 まもなくハイドレーションブレイク(飲水と作戦共有)！監督の指示が入るので、試合が動くかも！？
前半,23,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,24,👍 配信が楽しければ「高評価」をお願いします！
前半,25,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,26,👏 今の気持ちをチャットで共有しましょう！
前半,27,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
前半,28,❓ 質問はコメント欄でどうぞ。
前半,29,👏 今の気持ちをチャットで共有しましょう！
前半,30,🔁 前半30分が経過！まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
前半,31,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
前半,32,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
前半,33,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
前半,34,【原理原則】フィールドを縦に5分割して見るのがオススメ
